Review,Review_Bersih,Review_bersih_joined,Aspek_Kategori,ganti,Sentimen,Label_Aspek,Label_Sen,Review_Bersih_NEG
"Idealnya ada PIC yang rawat rumput tersebut, disirami saat musim kemarau, bila ada rumput yang mati segera diganti rumput baru.",idealnya gambar yang rawat rumput tersebut disirami saat musim kemarau bila rumput yang mati segera diganti rumput baru,idealnya gambar yang rawat rumput tersebut disirami saat musim kemarau bila rumput yang mati segera diganti rumput baru,lokasi,positif,netral,2,1,idealnya gambar yang rawat rumput tersebut disirami saat musim kemarau bila rumput yang mati segera diganti rumput baru
Jadi tidak kelihatan gersang dan menambah asri pemandangan.,jadi tidak kelihatan gersang menambah asri pemandangan,jadi tidak_kelihatan gersang menambah asri pemandangan,suasana,negatif,negatif,3,0,jadi tidak NEG_kelihatan NEG_gersang menambah asri pemandangan
"Sangat menakjubkan bisa mengajak, dan mengenalkan kepada anak, tentang kemegahan dan sejarah candi Borobudur.",sangat menakjubkan bisa mengajak mengenalkan kepada anak tentang kemegahan sejarah candi borobudur,sangat menakjubkan bisa mengajak mengenalkan kepada anak tentang kemegahan sejarah candi borobudur,lokasi,positif,positif,2,1,sangat menakjubkan bisa mengajak mengenalkan kepada anak tentang kemegahan sejarah candi borobudur
Semoga tetap terjaga sampai di masa mendatang,semoga tetap terjaga sampai masa mendatang,semoga tetap terjaga sampai masa mendatang,serbaneka,positif,positif,4,1,semoga tetap terjaga sampai masa mendatang
Pernah dateng tapi cocoknya mungkin sunrise atau sunset.,pernah datang tapi cocoknya mungkin matahari terbit atau matahari tenggelam,pernah datang tapi cocoknya mungkin matahari terbit atau matahari tenggelam,suasana,positif,netral,3,1,pernah datang tapi cocoknya mungkin matahari terbit atau matahari tenggelam
terlalu ramai di saat jam sibuk.,terlalu ramai saat sibuk,terlalu ramai saat sibuk,suasana,negatif,negatif,3,1,terlalu ramai saat sibuk
wajib datang lagi,wajib datang lagi,wajib datang lagi,serbaneka,positif,positif,4,1,wajib datang lagi
"Pernah kesini waktu SD dulu lokasi nya real mantap dehh,candi mantap banget,megah dan luas,apalagi ada satu patung yang dianggap sakral banget,boleh dicoba tuh kawan",pernah kesini waktu dahulu lokasi real mantap deh candi mantap banget megah luas apalagi satu patung yang dianggap sakral banget boleh dicoba kawan,pernah kesini waktu dahulu lokasi real mantap deh candi mantap banget megah luas apalagi satu patung yang dianggap sakral banget boleh dicoba kawan,lokasi,positif,positif,2,1,pernah kesini waktu dahulu lokasi real mantap deh candi mantap banget megah luas apalagi satu patung yang dianggap sakral banget boleh dicoba kawan
"Alhamdulillah,bisa menikmati keindahan Candi Borobudur dipagi hari dengan udara yang sangat sejuk.",alhamdulillah bisa menikmati keindahan candi borobudur dipagi hari dengan udara yang sangat sejuk,alhamdulillah bisa menikmati keindahan candi borobudur dipagi hari dengan udara yang sangat sejuk,suasana,positif,positif,3,1,alhamdulillah bisa menikmati keindahan candi borobudur dipagi hari dengan udara yang sangat sejuk
"Tour de Jogja : Sunrise Borobudur, transit di Gereja Ayam kemudian ke Candi Pawon sambil minum Kopi di Pawon Kopi Luwak Home Industri dilanjutkan ke Candi Mendut yang merupakan Candi Budha pusat perayaan Waisak pada setiap tahunnya",wisata adik jogja matahari terbit borobudur transit gereja ayam kemudian candi pawon sambil minum kopi pawon kopi luwak home industri dilanjutkan candi mendut yang merupakan candi budha pusat perayaan waisak pada setiap tahunnya,wisata adik jogja matahari terbit borobudur transit gereja ayam kemudian candi pawon sambil minum kopi pawon kopi luwak home industri dilanjutkan candi mendut yang merupakan candi budha pusat perayaan waisak pada setiap tahunnya,serbaneka,positif,netral,4,1,wisata adik jogja matahari terbit borobudur transit gereja ayam kemudian candi pawon sambil minum kopi pawon kopi luwak home industri dilanjutkan candi mendut yang merupakan candi budha pusat perayaan waisak pada setiap tahunnya
"Setelah mengikuti lomba ,kami diajak berkeliling candi Borobudur.",setelah mengikuti lomba kami diajak berkeliling candi borobudur,setelah mengikuti lomba kami diajak berkeliling candi borobudur,serbaneka,positif,netral,4,1,setelah mengikuti lomba kami diajak berkeliling candi borobudur
Banyak turis asing yang datang.,banyak turis asing yang datang,banyak turis asing yang datang,serbaneka,positif,netral,4,1,banyak turis asing yang datang
Kebetulan cuaca sedang terik dan kita melihat bukit yang terlihat seperti orang yang sedang tidur.,kebetulan cuaca sedang terik kita melihat bukit yang terlihat seperti orang yang sedang tidur,kebetulan cuaca sedang terik kita melihat bukit yang terlihat seperti orang yang sedang tidur,serbaneka,positif,netral,4,1,kebetulan cuaca sedang terik kita melihat bukit yang terlihat seperti orang yang sedang tidur
"tempatnya sangat bagus dan luas, butuh 3 jam untuk mengelilingi tempat ini dan melihat banyak relief yang ada di setiap dindingnya, untuk yang dari luar indonesia",tempatnya sangat bagus luas butuh untuk mengelilingi tempat melihat banyak relief yang setiap dindingnya untuk yang dari luar indonesia ,tempatnya sangat bagus luas butuh untuk mengelilingi tempat melihat banyak relief yang setiap dindingnya untuk yang dari luar indonesia,lokasi,positif,positif,2,1,tempatnya sangat bagus luas butuh untuk mengelilingi tempat melihat banyak relief yang setiap dindingnya untuk yang dari luar indonesia
"Peninggalan sejarah, bagus untuk datang sendiri, bersama keluarga dan kerabat.",peninggalan sejarah bagus untuk datang sendiri bersama keluarga kerabat,peninggalan sejarah bagus untuk datang sendiri bersama keluarga kerabat,serbaneka,positif,positif,4,1,peninggalan sejarah bagus untuk datang sendiri bersama keluarga kerabat
Disarankan untuk tidak menggunakan highheels ketempat ini karena kalian akan menaiki beberapa anak tangga untuk sampai ke candi nya.,disarankan untuk tidak menggunakan highheels ketempat karena kalian akan menaiki beberapa anak tangga untuk sampai candi,disarankan untuk tidak_menggunakan highheels ketempat karena kalian akan menaiki beberapa anak tangga untuk sampai candi,serbaneka,positif,netral,4,1,disarankan untuk tidak NEG_menggunakan NEG_highheels ketempat karena kalian akan menaiki beberapa anak tangga untuk sampai candi
"Mahakarya indah,dengan nuansa pedesaan yang sejuk dan damai,mempesona dan sangat menarik untuk di kunjungi.",mahakarya indah dengan nuansa pedesaan yang sejuk damai mempesona sangat menarik untuk kunjungi,mahakarya indah dengan nuansa pedesaan yang sejuk damai mempesona sangat menarik untuk kunjungi,suasana,positif,positif,3,1,mahakarya indah dengan nuansa pedesaan yang sejuk damai mempesona sangat menarik untuk kunjungi
"Sudah 2 kali kesini, panas si, tapi bikin kangen.",sudah kali kesini panas tapi membuat kangen,sudah kali kesini panas tapi membuat kangen,suasana,negatif,negatif,3,1,sudah kali kesini panas tapi membuat kangen
"Pengen balik lagi kesini, banyak situs budaya sejarah disini,",ingin balik lagi kesini banyak situs budaya sejarah disini,ingin balik lagi kesini banyak situs budaya sejarah disini,fasilitas,positif,positif,1,1,ingin balik lagi kesini banyak situs budaya sejarah disini
Berkunjung kesini pas weekend emang ramai banget sulit mau foto susah terlalu banyak orang. ,berkunjung kesini weekend memang ramai banget sulit foto susah terlalu banyak orang,berkunjung kesini weekend memang ramai banget sulit foto susah terlalu banyak orang,suasana,positif,positif,3,1,berkunjung kesini weekend memang ramai banget sulit foto susah terlalu banyak orang
"Mengunjungi Candi Borobudur memberi kebanggaan tersendiri, karena candi ini sudah terkenal di seluruh dunia dan menjadi icon Indonesia.",mengunjungi candi borobudur memberi kebanggaan tersendiri karena candi sudah terkenal seluruh dunia menjadi ikon indonesia,mengunjungi candi borobudur memberi kebanggaan tersendiri karena candi sudah terkenal seluruh dunia menjadi ikon indonesia,serbaneka,positif,positif,4,1,mengunjungi candi borobudur memberi kebanggaan tersendiri karena candi sudah terkenal seluruh dunia menjadi ikon indonesia
"tapi keseluruhan senang banget bisa wisata kesini, pemandangan dari atas candi sungguh indah, bisa foto di stupa nya juga.",tapi keseluruhan senang banget bisa wisata kesini pemandangan dari atas candi sungguh indah bisa foto stupa juga,tapi keseluruhan senang banget bisa wisata kesini pemandangan dari atas candi sungguh indah bisa foto stupa juga,suasana,positif,positif,3,1,tapi keseluruhan senang banget bisa wisata kesini pemandangan dari atas candi sungguh indah bisa foto stupa juga
"Meski tiket masuknya terhitung mahal, tapi sangat beralasan sebab pengelolaannya juga baik.",meski tiket masuknya terhitung mahal tapi sangat beralasan sebab pengelolaannya juga baik,meski tiket masuknya terhitung mahal tapi sangat beralasan sebab pengelolaannya juga baik,serbaneka,positif,netral,4,1,meski tiket masuknya terhitung mahal tapi sangat beralasan sebab pengelolaannya juga baik
Tak bosan saya kesini karena festival sering diadakan silih berganti.,tidak bosan saya kesini karena festival sering diadakan silih berganti,tidak_bosan saya kesini karena festival sering diadakan silih berganti,serbaneka,positif,positif,4,1,tidak NEG_bosan saya kesini karena festival sering diadakan silih berganti
"Borobudur merupakan candi Budha dan dikenal sebagai candi terbesar di Indonesia, bahkan seluruh dunia.",borobudur merupakan candi budha dikenal sebagai candi terbesar indonesia bahkan seluruh dunia,borobudur merupakan candi budha dikenal sebagai candi terbesar indonesia bahkan seluruh dunia,lokasi,positif,positif,2,1,borobudur merupakan candi budha dikenal sebagai candi terbesar indonesia bahkan seluruh dunia
"Candi Budha terbesar ini berada di kota Magelang, Provinsi Jawa Tengah,Indonesia.",candi budha terbesar berada kota magelang provinsi jawa tengah indonesia,candi budha terbesar berada kota magelang provinsi jawa tengah indonesia,lokasi,positif,positif,2,1,candi budha terbesar berada kota magelang provinsi jawa tengah indonesia
"Kabarnya, candi yang mempunyai bentuk stupa ini sudah didirikan pada tahun 800sm.",kabarnya candi yang mempunyai bentuk stupa sudah didirikan pada tahun,kabarnya candi yang mempunyai bentuk stupa sudah didirikan pada tahun,serbaneka,positif,netral,4,1,kabarnya candi yang mempunyai bentuk stupa sudah didirikan pada tahun
Setiap harinya ada banyak wisatawan yang berdatangan untuk berwisata dengan datang ke Borobudur.,setiap harinya banyak wisatawan yang berdatangan untuk berwisata dengan datang borobudur,setiap harinya banyak wisatawan yang berdatangan untuk berwisata dengan datang borobudur,serbaneka,positif,netral,4,1,setiap harinya banyak wisatawan yang berdatangan untuk berwisata dengan datang borobudur
"Orang-orang yang datang ke candi Borobudur tak hanya ingin menikmati dan menyaksikan salah satu bangunan megah ini, melainkan mereka juga ingin mengetahui kisah-kisah sejarah hingga mitos yang menyelimuti candi Budha terbesar di dunia.",orang orang yang datang candi borobudur tidak hanya ingin menikmati menyaksikan salah satu bangunan megah melainkan mereka juga ingin mengetahui kisah kisah sejarah hingga mitos yang menyelimuti candi budha terbesar dunia,orang orang yang datang candi borobudur tidak_hanya ingin menikmati menyaksikan salah satu bangunan megah melainkan mereka juga ingin mengetahui kisah kisah sejarah hingga mitos yang menyelimuti candi budha terbesar dunia,serbaneka,positif,positif,4,1,orang orang yang datang candi borobudur tidak NEG_hanya ingin menikmati menyaksikan salah satu bangunan megah melainkan mereka juga ingin mengetahui kisah kisah sejarah hingga mitos yang menyelimuti candi budha terbesar dunia
"Bagi yang merasa kebingungan untuk menghabiskan waktu liburan, sebaiknya datanglah ke Candi Borobudur untuk mendapatkan sensasi wisata yang berbeda sekaligus berjalan-jalan sembari mengetahui sejarah peradaban agama Budha di Indonesia.",bagi yang merasa kebingungan untuk menghabiskan waktu liburan sebaiknya datanglah candi borobudur untuk mendapatkan sensasi wisata yang berbeda sekaligus berjalan jalan sembari mengetahui sejarah peradaban agama budha indonesia,bagi yang merasa kebingungan untuk menghabiskan waktu liburan sebaiknya datanglah candi borobudur untuk mendapatkan sensasi wisata yang berbeda sekaligus berjalan jalan sembari mengetahui sejarah peradaban agama budha indonesia,serbaneka,positif,positif,4,1,bagi yang merasa kebingungan untuk menghabiskan waktu liburan sebaiknya datanglah candi borobudur untuk mendapatkan sensasi wisata yang berbeda sekaligus berjalan jalan sembari mengetahui sejarah peradaban agama budha indonesia
Sudah beberpa kali kesini dan teratur kesini tempatnya semakin rapih dan bersih.,sudah beberpa kali kesini teratur kesini tempatnya semakin rapih bersih,sudah beberpa kali kesini teratur kesini tempatnya semakin rapih bersih,lokasi,positif,positif,2,1,sudah beberpa kali kesini teratur kesini tempatnya semakin rapih bersih
Anak-anak juga senang.,anak anak juga senang,anak anak juga senang,serbaneka,positif,positif,4,1,anak anak juga senang
"udah ke 3 kalinya kesini, namun kali ini bersama keluarga besar, keindahaannya tetap sama, tapi sdg ada sedikit renov di atas.",sudah kalinya kesini namun kali bersama keluarga besar keindahaannya tetap sama tapi sedang sedikit renovasi atas,sudah kalinya kesini namun kali bersama keluarga besar keindahaannya tetap sama tapi sedang sedikit renovasi atas,lokasi,positif,positif,2,1,sudah kalinya kesini namun kali bersama keluarga besar keindahaannya tetap sama tapi sedang sedikit renovasi atas
Candi borobudur ini termasuk dalam keajaiban dunia yg merupakan peninggalan sejarah.,candi borobudur termasuk dalam keajaiban dunia yang merupakan peninggalan sejarah,candi borobudur termasuk dalam keajaiban dunia yang merupakan peninggalan sejarah,serbaneka,positif,positif,4,1,candi borobudur termasuk dalam keajaiban dunia yang merupakan peninggalan sejarah
"Meski banyak yg rusak di beberapa bagian, pemugaran tetap terus berlangsung.",meski banyak yang rusak beberapa bagian pemugaran tetap terus berlangsung,meski banyak yang rusak beberapa bagian pemugaran tetap terus berlangsung,serbaneka,negatif,negatif,4,1,meski banyak yang rusak beberapa bagian pemugaran tetap terus berlangsung
Area candi ini sangat terawat dan baik.,area candi sangat terawat baik,area candi sangat terawat baik,lokasi,positif,positif,2,1,area candi sangat terawat baik
Namun banyak nya pedagang asongan dan peminta minta dapat membuat liburan anda terasa kurang nyaman.,namun banyak pedagang asongan peminta minta dapat membuat liburan anda terasa kurang_nyaman,namun banyak pedagang asongan peminta minta dapat membuat liburan anda terasa kurang_nyaman,fasilitas,negatif,negatif,1,0,namun banyak pedagang asongan peminta minta dapat membuat liburan anda terasa kurang_nyaman
"Saat anda di area parkiran, akan banyak pedagang, dan para penyewa panyung menawarkan jasa dgn embel embel bahwa di dalam area setelah masuk dari gerbang utama tidak ada lagi sewa payung dan asongan.",saat anda area parkiran akan banyak pedagang para penyewa panyung menawarkan jasa dengan embel embel bahwa dalam area setelah masuk dari gerbang utama tidak ada lagi sewa payung asongan,saat anda area parkiran akan banyak pedagang para penyewa panyung menawarkan jasa dengan embel embel bahwa dalam area setelah masuk dari gerbang utama tidak_ada lagi sewa payung asongan,fasilitas,negatif,negatif,1,0,saat anda area parkiran akan banyak pedagang para penyewa panyung menawarkan jasa dengan embel embel bahwa dalam area setelah masuk dari gerbang utama tidak NEG_ada lagi sewa payung asongan
Tapi itu bohong.,tapi bohong,tapi bohong,serbaneka,negatif,negatif,4,0,tapi bohong
Harga sewa payung di parkiran sebesar Rp. 10000 Namun di dalam anda bisa dapatkan seharga Rp. 5000,harga sewa payung parkiran sebesar rupiah namun dalam anda bisa dapatkan seharga rupiah,harga sewa payung parkiran sebesar rupiah namun dalam anda bisa dapatkan seharga rupiah,serbaneka,positif,netral,4,1,harga sewa payung parkiran sebesar rupiah namun dalam anda bisa dapatkan seharga rupiah
Di dekat arah menuju keluar terdapat mobil vw safari yg bisa anda gunakan dengan membayar Rp. 150000 anda akan dibawa kearea parkir dengan melewati kampung wisata dan dapat mampir di beberapa tempat salah satunya peternakan lebah madu.,dekat arah menuju keluar terdapat mobil safari yang bisa anda gunakan dengan membayar rupiah anda akan dibawa kearea parkir dengan melewati kampung wisata dapat mampir beberapa tempat salah satunya peternakan lebah madu,dekat arah menuju keluar terdapat mobil safari yang bisa anda gunakan dengan membayar rupiah anda akan dibawa kearea parkir dengan melewati kampung wisata dapat mampir beberapa tempat salah satunya peternakan lebah madu,fasilitas,positif,netral,1,1,dekat arah menuju keluar terdapat mobil safari yang bisa anda gunakan dengan membayar rupiah anda akan dibawa kearea parkir dengan melewati kampung wisata dapat mampir beberapa tempat salah satunya peternakan lebah madu
Saya sangat senang mengunjungi candi borobudur karena tempat yang sangat bersih dan tidak ada yang berjualan di sekitar candi borobudur dan juga fasilitas yang sangat bagus bagi saya begitu juga orang di sana sangat ramah.,saya sangat senang mengunjungi candi borobudur karena tempat yang sangat bersih tidak ada yang berjualan sekitar candi borobudur juga fasilitas yang sangat bagus bagi saya begitu juga orang sana sangat ramah,saya sangat senang mengunjungi candi borobudur karena tempat yang sangat bersih tidak_ada yang berjualan sekitar candi borobudur juga fasilitas yang sangat bagus bagi saya begitu juga orang sana sangat ramah,lokasi,positif,positif,2,1,saya sangat senang mengunjungi candi borobudur karena tempat yang sangat bersih tidak NEG_ada yang berjualan sekitar candi borobudur juga fasilitas yang sangat bagus bagi saya begitu juga orang sana sangat ramah
"Baiknya berkunjung ke borobudur tidak pada saat libur panjang, karena pengunjung akan sangat padat, seperti kunjunganku,  padatnya borobudur luar biasa dan buat kalian yang menggunakan celana atau rok selulut diwajibkan menggunakan kain yang disediakan, tetap jaga keindahan borobudur dan patuhi peraturan yang ada ya guys,",baiknya berkunjung borobudur tidak pada saat libur panjang karena pengunjung akan sangat padat seperti kunjunganku padatnya borobudur luar biasa buat kalian yang menggunakan celana atau selulut diwajibkan menggunakan kain yang disediakan tetap jaga keindahan borobudur patuhi peraturan yang teman-teman,baiknya berkunjung borobudur tidak_pada saat libur panjang karena pengunjung akan sangat padat seperti kunjunganku padatnya borobudur luar biasa buat kalian yang menggunakan celana atau selulut diwajibkan menggunakan kain yang disediakan tetap jaga keindahan borobudur patuhi peraturan yang teman-teman,suasana,positif,netral,3,1,baiknya berkunjung borobudur tidak saat libur panjang karena pengunjung akan sangat padat seperti kunjunganku padatnya borobudur luar biasa buat kalian yang menggunakan celana atau selulut diwajibkan menggunakan kain yang disediakan tetap jaga keindahan borobudur patuhi peraturan yang teman-teman
Tempatnya bagus banget dan bersih.,tempatnya bagus banget bersih,tempatnya bagus banget bersih,lokasi,positif,positif,2,1,tempatnya bagus banget bersih
Pertama kali seumur hidup ke tempat ini berkesan banget.,pertama kali seumur hidup tempat berkesan banget,pertama kali seumur hidup tempat berkesan banget,serbaneka,positif,positif,4,1,pertama kali seumur hidup tempat berkesan banget
Ternyata Indonesia juga sangat indah.,ternyata indonesia juga sangat indah,ternyata indonesia juga sangat indah,serbaneka,positif,positif,4,1,ternyata indonesia juga sangat indah
"Candi Borobudur sangat masyur dan indah sekali, Suasana yang asri dan penuh kenyamanan dapat kita temukan di Candi ini.",candi borobudur sangat masyur indah sekali suasana yang asri penuh kenyamanan dapat kita temukan candi,candi borobudur sangat masyur indah sekali suasana yang asri penuh kenyamanan dapat kita temukan candi,suasana,positif,positif,3,1,candi borobudur sangat masyur indah sekali suasana yang asri penuh kenyamanan dapat kita temukan candi
"Borobudur, Candi Budha yang terletak didaerah Magelang, Jawa Tengah ini, bukan hanya menawarkan kemegahan candinya saja, tetapi juga menjadi salah satu spot wisata yang cantik untuk berburu sunrise",borobudur candi budha yang terletak didaerah magelang jawa tengah bukan hanya menawarkan kemegahan candinya saja tetapi juga menjadi salah satu titik wisata yang cantik untuk berburu matahari terbit,borobudur candi budha yang terletak didaerah magelang jawa tengah bukan hanya menawarkan kemegahan candinya saja tetapi juga menjadi salah satu titik wisata yang cantik untuk berburu matahari terbit,serbaneka,positif,positif,4,1,borobudur candi budha yang terletak didaerah magelang jawa tengah bukan NEG_hanya NEG_menawarkan NEG_hanya kemegahan candinya saja tetapi juga menjadi salah satu titik wisata yang cantik untuk berburu matahari terbit
Salah satu lokasi yang terkenal di jawa tengah dengan pemandangan dan situasi alam yang mengagumkan sekali,salah satu lokasi yang terkenal jawa tengah dengan pemandangan situasi alam yang mengagumkan sekali,salah satu lokasi yang terkenal jawa tengah dengan pemandangan situasi alam yang mengagumkan sekali,lokasi,positif,positif,2,1,salah satu lokasi yang terkenal jawa tengah dengan pemandangan situasi alam yang mengagumkan sekali
"Cuaca di borobudur cukup terik, siapkan krim tabir surya, dan juga air minum yang cukup, dalam kondisi ramai, hati-hati dalam menapaki tangga, bersabar lah.",cuaca borobudur cukup terik siapkan krim tabir surya juga minum yang cukup dalam kondisi ramai hati hati dalam menapaki tangga bersabar,cuaca borobudur cukup terik siapkan krim tabir surya juga minum yang cukup dalam kondisi ramai hati hati dalam menapaki tangga bersabar,serbaneka,negatif,negatif,4,1,cuaca borobudur cukup terik siapkan krim tabir surya juga minum yang cukup dalam kondisi ramai hati hati dalam menapaki tangga bersabar
"Candi Borobudur ditetapkan sebagai situs Warisan Dunia oleh UNESCO tahun 1991, arti nama Borobudur sendiri masih menjadi perdebatan para sejarawan. Jika ditarik garis lurus maka candi Borobudur, candi Pawon dan candi Mendut letaknya sejajar, ketiga candi tersebut juga bercorak Buddha Mahayana Seorang ilmuwan yakin candi Borobudur dibangun di tengah danau purba menyerupai teratai yang tumbuh di permukaan air",candi borobudur ditetapkan sebagai situs warisan dunia oleh unesco tahun arti nama borobudur sendiri masih menjadi perdebatan para sejarawan jika ditarik garis lurus maka candi borobudur candi pawon candi mendut letaknya sejajar ketiga candi tersebut juga bercorak buddha mahayana seorang ilmuwan yakin candi borobudur dibangun tengah danau purba menyerupai teratai yang tumbuh permukaan,candi borobudur ditetapkan sebagai situs warisan dunia oleh unesco tahun arti nama borobudur sendiri masih menjadi perdebatan para sejarawan jika ditarik garis lurus maka candi borobudur candi pawon candi mendut letaknya sejajar ketiga candi tersebut juga bercorak buddha mahayana seorang ilmuwan yakin candi borobudur dibangun tengah danau purba menyerupai teratai yang tumbuh permukaan,serbaneka,positif,netral,4,1,candi borobudur ditetapkan sebagai situs warisan dunia oleh unesco tahun arti nama borobudur sendiri masih menjadi perdebatan para sejarawan jika ditarik garis lurus maka candi borobudur candi pawon candi mendut letaknya sejajar ketiga candi tersebut juga bercorak buddha mahayana seorang ilmuwan yakin candi borobudur dibangun tengah danau purba menyerupai teratai yang tumbuh permukaan
"Candi ini terletak di Magelang, sekitar 1 jam dari Yogyakarta.",candi terletak magelang sekitar dari yogyakarta,candi terletak magelang sekitar dari yogyakarta,lokasi,positif,netral,2,1,candi terletak magelang sekitar dari yogyakarta
Candi ini termasuk salah satu keajaiban dunia terbesar.,candi termasuk salah satu keajaiban dunia terbesar,candi termasuk salah satu keajaiban dunia terbesar,serbaneka,positif,positif,4,1,candi termasuk salah satu keajaiban dunia terbesar
Dan saya melihatnya bahwa candi ini luar biasa megah.,saya melihatnya bahwa candi luar biasa megah,saya melihatnya bahwa candi luar biasa megah,lokasi,positif,positif,2,1,saya melihatnya bahwa candi luar biasa megah
"Jika ingin kemari, saya sarankan gunakan T-shirt, celana santai, sepatu sport dan topi.",jika ingin kemari saya sarankan gunakan shirt celana santai sepatu sport topi,jika ingin kemari saya sarankan gunakan shirt celana santai sepatu sport topi,serbaneka,positif,netral,4,1,jika ingin kemari saya sarankan gunakan shirt celana santai sepatu sport topi
Karena candi ini memiliki banyak sekali tangga yang harus di panjat.,karena candi memiliki banyak sekali tangga yang harus panjat,karena candi memiliki banyak sekali tangga yang harus panjat,lokasi,positif,netral,2,1,karena candi memiliki banyak sekali tangga yang harus panjat
Dan tangga batunya tinggi-tinggi.,tangga batunya tinggi tinggi,tangga batunya tinggi tinggi,lokasi,positif,netral,2,1,tangga batunya tinggi tinggi
"Untuk orang tua yang memiliki masalah kaki dan menggunakan kursi roda, tidak perlu kuatir, dapat menghubungi petugas candi dan akan diarahkan ke jalan special untuk kursi roda, tapi tidak dapat naik sampai ke puncaknya.",untuk orang yang memiliki masalah kaki menggunakan kursi roda tidak perlu kuatir dapat menghubungi petugas candi akan diarahkan jalan special untuk kursi roda tapi tidak dapat naik sampai puncaknya,untuk orang yang memiliki masalah kaki menggunakan kursi roda tidak_perlu kuatir dapat menghubungi petugas candi akan diarahkan jalan special untuk kursi roda tapi tidak_dapat naik sampai puncaknya,fasilitas,positif,netral,1,1,untuk orang yang memiliki masalah kaki menggunakan kursi roda tidak NEG_perlu kuatir dapat menghubungi petugas candi akan diarahkan jalan special untuk kursi roda tapi tidak NEG_dapat naik sampai puncaknya
Setidaknya dapat menikmati kemegahan candi ini dari dekat.,setidaknya dapat menikmati kemegahan candi dari dekat,setidaknya dapat menikmati kemegahan candi dari dekat,lokasi,positif,positif,2,1,setidaknya dapat menikmati kemegahan candi dari dekat
"Di pintu keluar ada banyak pedagang-pedagang batik, cinderamata, dan camilan khas jawa tengah.",pintu keluar banyak pedagang pedagang batik cinderamata camilan khas jawa tengah,pintu keluar banyak pedagang pedagang batik cinderamata camilan khas jawa tengah,fasilitas,positif,netral,1,1,pintu keluar banyak pedagang pedagang batik cinderamata camilan khas jawa tengah
Jangan lupa menanyakan harga dan menawar.,jangan lupa menanyakan harga menawar,jangan lupa menanyakan harga menawar,serbaneka,positif,netral,4,1,jangan NEG_lupa menanyakan harga menawar
"Setelah 25 tahun tidak berkunjung ke Borobudur, banyak sekali perubahan yg sangat mendasar, lebih rapih,bersih dan tertata dengan baik.",setelah tahun tidak berkunjung borobudur banyak sekali perubahan yang sangat mendasar lebih rapih bersih tertata dengan baik,setelah tahun tidak_berkunjung borobudur banyak sekali perubahan yang sangat mendasar lebih rapih bersih tertata dengan baik,lokasi,positif,positif,2,1,setelah tahun tidak NEG_berkunjung NEG_borobudur banyak sekali perubahan yang sangat mendasar lebih rapih bersih tertata dengan baik
Dengan pemandangan yg sangat indah .,dengan pemandangan yang sangat indah,dengan pemandangan yang sangat indah,suasana,positif,positif,3,1,dengan pemandangan yang sangat indah
Pastinya sangat berkesan untuk kita.,pastinya sangat berkesan untuk kita,pastinya sangat berkesan untuk kita,serbaneka,positif,positif,4,1,pastinya sangat berkesan untuk kita
salah satu tempat rekomndasi bagi travelers dari dalam negeri dan mancanegara.,salah satu tempat rekomndasi bagi travelers dari dalam negeri mancanegara,salah satu tempat rekomndasi bagi travelers dari dalam negeri mancanegara,serbaneka,positif,netral,4,1,salah satu tempat rekomndasi bagi travelers dari dalam negeri mancanegara
"dapat menggunakan pembayaran tunai dan non tunai, dan anda akan bebas berfoto-foto didalamnya, tersedia juga tempat makannan khas jogjakarta.",dapat menggunakan pembayaran tunai tunai anda akan bebas berfoto foto didalamnya tersedia juga tempat makannan khas jogjakarta,dapat menggunakan pembayaran tunai tunai anda akan bebas berfoto foto didalamnya tersedia juga tempat makannan khas jogjakarta,fasilitas,positif,netral,1,1,dapat menggunakan pembayaran tunai tunai anda akan bebas berfoto foto didalamnya tersedia juga tempat makannan khas jogjakarta
Ga pernah bosan ke tempat ini.,tidak pernah bosan tempat,tidak_pernah bosan tempat,serbaneka,positif,positif,4,1,tidak NEG_pernah bosan tempat
"tempat yang indah, tenang dan asri.",tempat yang indah tenang asri,tempat yang indah tenang asri,suasana,positif,positif,3,1,tempat yang indah tenang asri
"bila ingin mengunjungi tempat ini lebih baik pagi hari, karena masih sepi pengunjung, tapi bila berkunjung pada saat libur merah ataupun sekolah sudah pasti ramai sekali.",bila ingin mengunjungi tempat lebih baik pagi hari karena masih sepi pengunjung tapi bila berkunjung pada saat libur merah ataupun sekolah sudah pasti ramai sekali,bila ingin mengunjungi tempat lebih baik pagi hari karena masih sepi pengunjung tapi bila berkunjung pada saat libur merah ataupun sekolah sudah pasti ramai sekali,suasana,positif,netral,3,1,bila ingin mengunjungi tempat lebih baik pagi hari karena masih sepi pengunjung tapi bila berkunjung pada saat libur merah ataupun sekolah sudah pasti ramai sekali
"ga sia2 datang kesini, tempatnya bagus banget, lokasinya emang lumayan jauh tp ga bakalan nyesel sama candinya.",tidak sia datang kesini tempatnya bagus banget lokasinya memang lumayan jauh tapi tidak akan nyesel sama candinya,tidak_sia datang kesini tempatnya bagus banget lokasinya memang lumayan jauh tapi tidak_akan nyesel sama candinya,lokasi,positif,positif,2,1,tidak NEG_sia NEG_datang kesini tempatnya bagus banget lokasinya memang lumayan jauh tapi tidak NEG_akan sama candinya
tempatnya juga bersih .,tempatnya juga bersih,tempatnya juga bersih,lokasi,positif,positif,2,1,tempatnya juga bersih
