,Review,Sentimen,Aspek_Kategori,classified,Label_Aspek,Label_Sen,Review_Bersih,review_stemmed
190,Sudah beberpa kali kesini dan teratur kesini tempatnya semakin rapih dan bersih.,positif,lokasi,lokasi,2,1,sudah beberpa kali kesini teratur kesini tempatnya semakin rapih bersih,sudah beberpa kali kesini atur kesini tempat makin rapih bersih
191,Anak-anak juga senang.,positif,serbaneka,serbaneka,4,1,anak anak juga senang,anak anak juga senang
192,"udah ke 3 kalinya kesini, namun kali ini bersama keluarga besar, keindahaannya tetap sama, tapi sdg ada sedikit renov di atas.",positif,lokasi,lokasi,2,1,sudah kalinya kesini namun kali bersama keluarga besar keindahaannya tetap sama tapi sedang sedikit renovasi atas,sudah kali kesini namun kali sama keluarga besar keindahaannya tetap sama tapi sedang sedikit renovasi atas
193,Candi borobudur ini termasuk dalam keajaiban dunia yg merupakan peninggalan sejarah.,positif,serbaneka,serbaneka,4,1,candi borobudur termasuk dalam keajaiban dunia yang merupakan peninggalan sejarah,candi borobudur masuk dalam ajaib dunia yang rupa tinggal sejarah
194,"Meski banyak yg rusak di beberapa bagian, pemugaran tetap terus berlangsung.",netral,serbaneka,serbaneka,4,0,meski banyak yang rusak beberapa bagian pemugaran tetap terus berlangsung,meski banyak yang rusak beberapa bagi pugar tetap terus langsung
195,Area candi ini sangat terawat dan baik.,positif,lokasi,lokasi,2,1,area candi sangat terawat baik,area candi sangat awat baik
196,Namun banyak nya pedagang asongan dan peminta minta dapat membuat liburan anda terasa kurang nyaman.,negatif,fasilitas,fasilitas,1,2,namun banyak pedagang asongan peminta minta dapat membuat liburan anda terasa kurang_nyaman,namun banyak dagang asong minta minta dapat buat libur anda asa kurang nyaman
197,"Saat anda di area parkiran, akan banyak pedagang, dan para penyewa panyung menawarkan jasa dgn embel embel bahwa di dalam area setelah masuk dari gerbang utama tidak ada lagi sewa payung dan asongan.",negatif,fasilitas,fasilitas,1,2,saat anda area parkiran akan banyak pedagang para penyewa panyung menawarkan jasa dengan embel embel bahwa dalam area setelah masuk dari gerbang utama tidak_ada lagi sewa payung asongan,saat anda area parkir akan banyak dagang para sewa panyung tawar jasa dengan embel embel bahwa dalam area telah masuk dari gerbang utama tidak ada lagi sewa payung asong
198,Tapi itu bohong.,negatif,serbaneka,serbaneka,4,2,tapi bohong,tapi bohong
199,Harga sewa payung di parkiran sebesar Rp. 10000 Namun di dalam anda bisa dapatkan seharga Rp. 5000,netral,serbaneka,serbaneka,4,0,harga sewa payung parkiran sebesar rupiah namun dalam anda bisa dapatkan seharga rupiah,harga sewa payung parkir besar rupiah namun dalam anda bisa dapat harga rupiah
200,Di dekat arah menuju keluar terdapat mobil vw safari yg bisa anda gunakan dengan membayar Rp. 150000 anda akan dibawa kearea parkir dengan melewati kampung wisata dan dapat mampir di beberapa tempat salah satunya peternakan lebah madu.,netral,fasilitas,fasilitas,1,0,dekat arah menuju keluar terdapat mobil safari yang bisa anda gunakan dengan membayar rupiah anda akan dibawa kearea parkir dengan melewati kampung wisata dapat mampir beberapa tempat salah satunya peternakan lebah madu,dekat arah tuju keluar dapat mobil safari yang bisa anda guna dengan bayar rupiah anda akan bawa area parkir dengan lewat kampung wisata dapat mampir beberapa tempat salah satu terna lebah madu
201,Saya sangat senang mengunjungi candi borobudur karena tempat yang sangat bersih dan tidak ada yang berjualan di sekitar candi borobudur dan juga fasilitas yang sangat bagus bagi saya begitu juga orang di sana sangat ramah.,positif,lokasi,lokasi,2,1,saya sangat senang mengunjungi candi borobudur karena tempat yang sangat bersih tidak_ada yang berjualan sekitar candi borobudur juga fasilitas yang sangat bagus bagi saya begitu juga orang sana sangat ramah,saya sangat senang unjung candi borobudur karena tempat yang sangat bersih tidak ada yang jual sekitar candi borobudur juga fasilitas yang sangat bagus bagi saya begitu juga orang sana sangat ramah
202,"Baiknya berkunjung ke borobudur tidak pada saat libur panjang, karena pengunjung akan sangat padat, seperti kunjunganku,  padatnya borobudur luar biasa dan buat kalian yang menggunakan celana atau rok selulut diwajibkan menggunakan kain yang disediakan, tetap jaga keindahan borobudur dan patuhi peraturan yang ada ya guys,",netral,suasana,suasana,3,0,baiknya berkunjung borobudur tidak_pada saat libur panjang karena pengunjung akan sangat padat seperti kunjunganku padatnya borobudur luar biasa buat kalian yang menggunakan celana atau selulut diwajibkan menggunakan kain yang disediakan tetap jaga keindahan borobudur patuhi peraturan yang teman-teman,baik kunjung borobudur tidak pada saat libur panjang karena unjung akan sangat padat seperti kunjung padat borobudur luar biasa buat kalian yang guna celana atau lulut wajib guna kain yang sedia tetap jaga indah borobudur patuh atur yang teman
203,Tempatnya bagus banget dan bersih.,positif,lokasi,lokasi,2,1,tempatnya bagus banget bersih,tempat bagus banget bersih
204,Pertama kali seumur hidup ke tempat ini berkesan banget.,positif,serbaneka,serbaneka,4,1,pertama kali seumur hidup tempat berkesan banget,pertama kali umur hidup tempat kesan banget
205,Ternyata Indonesia juga sangat indah.,positif,serbaneka,serbaneka,4,1,ternyata indonesia juga sangat indah,nyata indonesia juga sangat indah
206,"Candi Borobudur sangat masyur dan indah sekali, Suasana yang asri dan penuh kenyamanan dapat kita temukan di Candi ini.",positif,suasana,suasana,3,1,candi borobudur sangat masyur indah sekali suasana yang asri penuh kenyamanan dapat kita temukan candi,candi borobudur sangat masyur indah sekali suasana yang asri penuh nyaman dapat kita temu candi
207,"Borobudur, Candi Budha yang terletak didaerah Magelang, Jawa Tengah ini, bukan hanya menawarkan kemegahan candinya saja, tetapi juga menjadi salah satu spot wisata yang cantik untuk berburu sunrise",positif,serbaneka,serbaneka,4,1,borobudur candi budha yang terletak didaerah magelang jawa tengah bukan hanya menawarkan kemegahan candinya saja tetapi juga menjadi salah satu titik wisata yang cantik untuk berburu matahari terbit,borobudur candi budha yang letak daerah magelang jawa tengah bukan hanya tawar megah candi saja tetapi juga jadi salah satu titik wisata yang cantik untuk buru matahari terbit
208,Salah satu lokasi yang terkenal di jawa tengah dengan pemandangan dan situasi alam yang mengagumkan sekali,positif,lokasi,lokasi,2,1,salah satu lokasi yang terkenal jawa tengah dengan pemandangan situasi alam yang mengagumkan sekali,salah satu lokasi yang kenal jawa tengah dengan pandang situasi alam yang kagum sekali
209,"Cuaca di borobudur cukup terik, siapkan krim tabir surya, dan juga air minum yang cukup, dalam kondisi ramai, hati-hati dalam menapaki tangga, bersabar lah.",netral,serbaneka,serbaneka,4,0,cuaca borobudur cukup terik siapkan krim tabir surya juga minum yang cukup dalam kondisi ramai hati hati dalam menapaki tangga bersabar,cuaca borobudur cukup terik siap krim tabir surya juga minum yang cukup dalam kondisi ramai hati hati dalam tapak tangga sabar
210,"Candi Borobudur ditetapkan sebagai situs Warisan Dunia oleh UNESCO tahun 1991, arti nama Borobudur sendiri masih menjadi perdebatan para sejarawan. Jika ditarik garis lurus maka candi Borobudur, candi Pawon dan candi Mendut letaknya sejajar, ketiga candi tersebut juga bercorak Buddha Mahayana Seorang ilmuwan yakin candi Borobudur dibangun di tengah danau purba menyerupai teratai yang tumbuh di permukaan air",netral,serbaneka,serbaneka,4,0,candi borobudur ditetapkan sebagai situs warisan dunia oleh unesco tahun arti nama borobudur sendiri masih menjadi perdebatan para sejarawan jika ditarik garis lurus maka candi borobudur candi pawon candi mendut letaknya sejajar ketiga candi tersebut juga bercorak buddha mahayana seorang ilmuwan yakin candi borobudur dibangun tengah danau purba menyerupai teratai yang tumbuh permukaan,candi borobudur tetap bagai situs waris dunia oleh unesco tahun arti nama borobudur sendiri masih jadi debat para sejarawan jika tarik garis lurus maka candi borobudur candi pawon candi mendut letak sejajar tiga candi sebut juga corak buddha mahayana orang ilmuwan yakin candi borobudur bangun tengah danau purba rupa teratai yang tumbuh muka
211,"Candi ini terletak di Magelang, sekitar 1 jam dari Yogyakarta.",netral,lokasi,lokasi,2,0,candi terletak magelang sekitar dari yogyakarta,candi letak magelang sekitar dari yogyakarta
212,Candi ini termasuk salah satu keajaiban dunia terbesar.,positif,serbaneka,serbaneka,4,1,candi termasuk salah satu keajaiban dunia terbesar,candi masuk salah satu ajaib dunia besar
213,Dan saya melihatnya bahwa candi ini luar biasa megah.,positif,lokasi,lokasi,2,1,saya melihatnya bahwa candi luar biasa megah,saya lihat bahwa candi luar biasa megah
214,"Jika ingin kemari, saya sarankan gunakan T-shirt, celana santai, sepatu sport dan topi.",netral,serbaneka,serbaneka,4,0,jika ingin kemari saya sarankan gunakan shirt celana santai sepatu sport topi,jika ingin kemari saya saran guna shirt celana santai sepatu sport topi
215,Karena candi ini memiliki banyak sekali tangga yang harus di panjat.,netral,lokasi,lokasi,2,0,karena candi memiliki banyak sekali tangga yang harus panjat,karena candi milik banyak sekali tangga yang harus panjat
216,Dan tangga batunya tinggi-tinggi.,netral,lokasi,lokasi,2,0,tangga batunya tinggi tinggi,tangga batu tinggi tinggi
217,"Untuk orang tua yang memiliki masalah kaki dan menggunakan kursi roda, tidak perlu kuatir, dapat menghubungi petugas candi dan akan diarahkan ke jalan special untuk kursi roda, tapi tidak dapat naik sampai ke puncaknya.",netral,fasilitas,fasilitas,1,0,untuk orang yang memiliki masalah kaki menggunakan kursi roda tidak_perlu kuatir dapat menghubungi petugas candi akan diarahkan jalan special untuk kursi roda tapi tidak_dapat naik sampai puncaknya,untuk orang yang milik masalah kaki guna kursi roda tidak perlu kuatir dapat hubung tugas candi akan arah jalan special untuk kursi roda tapi tidak dapat naik sampai puncak
218,Setidaknya dapat menikmati kemegahan candi ini dari dekat.,positif,lokasi,lokasi,2,1,setidaknya dapat menikmati kemegahan candi dari dekat,tidak dapat nikmat megah candi dari dekat
219,"Di pintu keluar ada banyak pedagang-pedagang batik, cinderamata, dan camilan khas jawa tengah.",netral,fasilitas,fasilitas,1,0,pintu keluar banyak pedagang pedagang batik cinderamata camilan khas jawa tengah,pintu keluar banyak dagang dagang batik cinderamata camil khas jawa tengah
220,Jangan lupa menanyakan harga dan menawar.,netral,serbaneka,serbaneka,4,0,jangan lupa menanyakan harga menawar,jangan lupa tanya harga tawar
221,"Setelah 25 tahun tidak berkunjung ke Borobudur, banyak sekali perubahan yg sangat mendasar, lebih rapih,bersih dan tertata dengan baik.",positif,lokasi,lokasi,2,1,setelah tahun tidak_berkunjung borobudur banyak sekali perubahan yang sangat mendasar lebih rapih bersih tertata dengan baik,telah tahun tidak kunjung borobudur banyak sekali ubah yang sangat dasar lebih rapih bersih tata dengan baik
222,Dengan pemandangan yg sangat indah .,positif,suasana,suasana,3,1,dengan pemandangan yang sangat indah,dengan pandang yang sangat indah
223,Pastinya sangat berkesan untuk kita.,positif,serbaneka,serbaneka,4,1,pastinya sangat berkesan untuk kita,pasti sangat kesan untuk kita
224,salah satu tempat rekomndasi bagi travelers dari dalam negeri dan mancanegara.,netral,serbaneka,serbaneka,4,0,salah satu tempat rekomndasi bagi travelers dari dalam negeri mancanegara,salah satu tempat rekomndasi bagi travelers dari dalam negeri mancanegara
225,"dapat menggunakan pembayaran tunai dan non tunai, dan anda akan bebas berfoto-foto didalamnya, tersedia juga tempat makannan khas jogjakarta.",netral,fasilitas,fasilitas,1,0,dapat menggunakan pembayaran tunai tunai anda akan bebas berfoto foto didalamnya tersedia juga tempat makannan khas jogjakarta,dapat guna bayar tunai tunai anda akan bebas foto foto dalam sedia juga tempat makannan khas jogjakarta
226,Ga pernah bosan ke tempat ini.,positif,serbaneka,serbaneka,4,1,tidak_pernah bosan tempat,tidak pernah bosan tempat
227,"tempat yang indah, tenang dan asri.",positif,suasana,suasana,3,1,tempat yang indah tenang asri,tempat yang indah tenang asri
228,"bila ingin mengunjungi tempat ini lebih baik pagi hari, karena masih sepi pengunjung, tapi bila berkunjung pada saat libur merah ataupun sekolah sudah pasti ramai sekali.",netral,suasana,suasana,3,0,bila ingin mengunjungi tempat lebih baik pagi hari karena masih sepi pengunjung tapi bila berkunjung pada saat libur merah ataupun sekolah sudah pasti ramai sekali,bila ingin unjung tempat lebih baik pagi hari karena masih sepi unjung tapi bila kunjung pada saat libur merah atau sekolah sudah pasti ramai sekali
229,"ga sia2 datang kesini, tempatnya bagus banget, lokasinya emang lumayan jauh tp ga bakalan nyesel sama candinya.",positif,lokasi,lokasi,2,1,tidak_sia datang kesini tempatnya bagus banget lokasinya memang lumayan jauh tapi tidak_akan nyesel sama candinya,tidak sia datang kesini tempat bagus banget lokasi memang lumayan jauh tapi tidak akan nyesel sama candi
230,tempatnya juga bersih .,positif,lokasi,lokasi,2,1,tempatnya juga bersih,tempat juga bersih
231,udh dua kali datang kesini .,netral,serbaneka,serbaneka,4,0,sudah kali datang kesini,sudah kali datang kesini
232,"kami sekeluarga berlibur ke ""Yogya"",dimana kami sempatkan pula untuk jalan-jalan ke Magelang tepatnya di ""Candi Borobudur"".",netral,serbaneka,serbaneka,4,0,kami sekeluarga berlibur yogya dimana kami sempatkan pula untuk jalan jalan magelang tepatnya candi borobudur,kami keluarga libur yogya mana kami sempat pula untuk jalan jalan magelang tepat candi borobudur
233,"Sengaja kami berkunjung ke sana untuk menunjukkan secara langsug salah satu ""Keajaiban Dunia"" kepada putra putri kami sebagai generasi penerus bangsa,yang diharapkan senantiasa dapat memelihara dan menjaga keberadaan serta kelestarian ""Candi Borobudur"" sekaligus keindahan alam sekitar Candi",positif,serbaneka,serbaneka,4,1,sengaja kami berkunjung sana untuk menunjukkan secara langsug salah satu keajaiban dunia kepada putra putri kami sebagai generasi penerus bangsa yang diharapkan senantiasa dapat memelihara menjaga keberadaan serta kelestarian candi borobudur sekaligus keindahan alam sekitar candi,sengaja kami kunjung sana untuk tunjuk cara langsug salah satu ajaib dunia kepada putra putri kami bagai generasi terus bangsa yang harap senantiasa dapat pelihara jaga ada serta lestari candi borobudur sekaligus indah alam sekitar candi
234,"Sangat menyenangkan mengunjungi candi Budha terbesar di dunia, saran saya berkunjunglah di pagi hari, mulai dari jam 6, agar cuaca masih sejuk dan tidak terik, sehingga kita bisa menikmati kunjungan dengan maksimal,terlebih jika kita membawa anak anak.",positif,suasana,suasana,3,1,sangat menyenangkan mengunjungi candi budha terbesar dunia saran saya berkunjunglah pagi hari mulai dari agar cuaca masih sejuk tidak_terik sehingga kita bisa menikmati kunjungan dengan maksimal terlebih jika kita membawa anak anak,sangat senang unjung candi budha besar dunia saran saya kunjung pagi hari mulai dari agar cuaca masih sejuk tidak terik sehingga kita bisa nikmat kunjung dengan maksimal lebih jika kita bawa anak anak
235,"Mencoba tour mengelilingi desa sekita menggunakan vw safari juga merupakan pilihan yg baik, harga sangat terjangkau.",positif,fasilitas,fasilitas,1,1,mencoba wisata mengelilingi desa sekita menggunakan safari juga merupakan pilihan yang baik harga sangat terjangkau,coba wisata keliling desa kita guna safari juga rupa pilih yang baik harga sangat jangkau
236,"udah lama gak kesini, lebih bagus dan lebih indah suasana sekitarnya, banyak fasilitas tambahan dan pendukungnya, belum lagi banyak festival yang digelar disini, jangan lupa bawa topi ya klo siang hari kesininya, waktu terbaik sih sebenarnya sih sore hari.",positif,suasana,suasana,3,1,sudah lama tidak_kesini lebih bagus lebih indah suasana sekitarnya banyak fasilitas tambahan pendukungnya belum lagi banyak festival yang digelar disini jangan lupa bawa topi kalau siang hari kesininya waktu terbaik sebenarnya sore hari,sudah lama tidak kesini lebih bagus lebih indah suasana sekitar banyak fasilitas tambah dukung belum lagi banyak festival yang gelar sini jangan lupa bawa topi kalau siang hari kesini waktu baik benar sore hari
237,siapkan kaki anda ya.,netral,serbaneka,serbaneka,4,0,siapkan kaki anda,siap kaki anda
238,"Di candi borobudur terdapat arca arca yang menarik, banyak bule pada dateng ke tempat itu lho.",positif,serbaneka,serbaneka,4,1,candi borobudur terdapat arca arca yang menarik banyak bule pada datang tempat,candi borobudur dapat arca arca yang tarik banyak bule pada datang tempat
239,"di luar candi terdapat halaman yang luassss,terdapat sejarah sejarah untuk memperluas ilmu pengetahuan, pokoknya banyak deh",positif,serbaneka,serbaneka,4,1,luar candi terdapat halaman yang luas terdapat sejarah sejarah untuk memperluas ilmu pengetahuan pokoknya banyak,luar candi dapat halaman yang luas dapat sejarah sejarah untuk luas ilmu tahu pokok banyak
240,"Wajib dikunjungi, walaupun harus naik tangga dulu sampai puncaknya tapi pas di puncak, bagus banget viewnya.",positif,lokasi,lokasi,2,1,wajib dikunjungi walaupun harus naik tangga dahulu sampai puncaknya tapi puncak bagus banget viewnya,wajib kunjung walaupun harus naik tangga dahulu sampai puncak tapi puncak bagus banget viewnya
241,Turun setelah keliling candi .,netral,serbaneka,serbaneka,4,0,turun setelah keliling candi,turun telah keliling candi
242,Ada sewa mobil vw .,netral,fasilitas,serbaneka,1,0,sewa mobil,sewa mobil
243,harga 150 ribu bisa mutar keliling sekitar kampung di Borobudur.,netral,fasilitas,fasilitas,1,0,harga ribu bisa mutar keliling sekitar kampung borobudur,harga ribu bisa mutar keliling sekitar kampung borobudur
244,diantar lagi ke pelataran parkir candi,netral,fasilitas,fasilitas,1,0,diantar lagi pelataran parkir candi,antar lagi latar parkir candi
245,Tempat wisata sejarah dan bukti peninggalan kerajaan zaman mataram kuno yg masih ada dan pernah menjadi salah satu keajaiban dunia.,positif,serbaneka,serbaneka,4,1,tempat wisata sejarah bukti peninggalan kerajaan zaman mataram kuno yang masih pernah menjadi salah satu keajaiban dunia,tempat wisata sejarah bukti tinggal raja zaman mataram kuno yang masih pernah jadi salah satu ajaib dunia
246,"Kali ini anak-anak diajak ke candi borobudur ,antusias sekali pengen segera sampai.",positif,serbaneka,serbaneka,4,1,kali anak anak diajak candi borobudur antusias sekali ingin segera sampai,kali anak anak ajak candi borobudur antusias sekali ingin segera sampai
247,Nyampai candi disambut berbagai spot yang menarik .,positif,lokasi,lokasi,2,1,nyampai candi disambut berbagai titik yang menarik,nyampai candi sambut bagai titik yang tarik
248,"Tiket domestik dewasa 40k anak 20k, kebetulan kita pas dateng pas weekdays tetapi ramai sekali pas musim liburan anak sekolah, untungnya masih bisa dapet spot buat foto foto.",netral,fasilitas,fasilitas,1,0,tiket domestik dewasa anak kebetulan kita datang weekdays tetapi ramai sekali musim liburan anak sekolah untungnya masih bisa dapat titik buat foto foto,tiket domestik dewasa anak betul kita datang weekdays tetapi ramai sekali musim libur anak sekolah untung masih bisa dapat titik buat foto foto
249,"mata langsung terbelalak, isi dalam museum kece banget, luar sama dalam sangat-sangat jauh berbeda.",positif,lokasi,lokasi,2,1,mata langsung terbelalak dalam museum bagus banget luar sama dalam sangat sangat jauh berbeda,mata langsung belalak dalam museum bagus banget luar sama dalam sangat sangat jauh beda
250,Didalamnya lo bakal menemukan cerita sejarah keraton Jogja dan Solo,netral,serbaneka,serbaneka,4,0,didalamnya kamu bakal menemukan cerita sejarah keraton jogja solo,dalam kamu bakal temu cerita sejarah keraton jogja solo
251,selama didalam akan diiringi oleh lantunan musik jawa,netral,fasilitas,fasilitas,1,0,selama didalam akan diiringi oleh lantunan musik jawa,lama dalam akan iring oleh lantun musik jawa
252,dipandu oleh guide yang siap memandu kita selama dijalan dan menginformasikan sejarah yang ada didalamnya.,positif,fasilitas,fasilitas,1,1,dipandu oleh pemandu yang siap memandu kita selama dijalan menginformasikan sejarah yang didalamnya,pandu oleh pandu yang siap pandu kita lama jalan informasi sejarah yang dalam
253,"Tapi sayangnya kita tidak diijinkan untuk mengambil foto selama didalam museum, kurang tau alasanya kenapa",negatif,fasilitas,fasilitas,1,2,tapi sayangnya kita tidak_diijinkan untuk mengambil foto selama didalam museum kurang_tahu alasanya kenapa,tapi sayang kita tidak diijinkan untuk ambil foto lama dalam museum kurang tahu alasanya kenapa
254,"tapi gak nyesel datang kesini, nanti suatu saat bakal datang kesana lagi.",positif,serbaneka,serbaneka,4,1,tapi tidak_nyesel datang kesini nanti suatu saat bakal datang kesana lagi,tapi tidak nyesel datang kesini nanti suatu saat bakal datang kesana lagi
255,"Museum ini adalah milik pribadi, dimana di dalam museum tsb ada beberapa koleksi dari sejarah kerajaan Yogyakarta dan Solo.",netral,serbaneka,serbaneka,4,0,museum adalah milik pribadi dimana dalam museum tersebut beberapa koleksi dari sejarah kerajaan yogyakarta solo,museum adalah milik pribadi mana dalam museum sebut beberapa koleksi dari sejarah raja yogyakarta solo
256,Museum ini menyimpan koleksi dari photo2 kerajaan yang sudah reproduksi kembali.,netral,serbaneka,serbaneka,4,0,museum menyimpan koleksi dari photo photo kerajaan yang sudah reproduksi kembali,museum simpan koleksi dari photo photo raja yang sudah reproduksi kembali
257,"koleksi batik dan arti dari batik tsb, pakaian kerajaan Yogya dan solo dsb.",netral,serbaneka,serbaneka,4,0,koleksi batik arti dari batik pakaian kerajaan yogya solo,koleksi batik arti dari batik pakai raja yogya solo
258,Tarif untuk masuk ke museum tsb 40K untuk dewasa dan 20K untuk anak.,netral,serbaneka,serbaneka,4,0,tarif untuk masuk museum tersebut untuk dewasa untuk anak,tarif untuk masuk museum sebut untuk dewasa untuk anak
259,Pengunjung dibagi menjadi grup kecil sekitar 25orang dan akan dipandu oleh Guide yang supel dan mengerti akan sejarah dari koleksi yang di pamerkan.,netral,fasilitas,fasilitas,1,0,pengunjung dibagi menjadi grup kecil sekitar orang akan dipandu oleh pemandu yang supel mengerti akan sejarah dari koleksi yang pamerkan,unjung bagi jadi grup kecil sekitar orang akan pandu oleh pandu yang supel erti akan sejarah dari koleksi yang pamer
260,Dan bagi para anak2 akan sangat menarik untuk menjelajahi sejarah kerajaan jawa khususnya Yogya dan Solo.,positif,fasilitas,fasilitas,1,1,bagi para anak anak akan sangat menarik untuk menjelajahi sejarah kerajaan jawa khususnya yogya solo,bagi para anak anak akan sangat tarik untuk jajah sejarah raja jawa khusus yogya solo
261,Tata letak museum sangat menarik dan tidak membosankan.,negatif,lokasi,lokasi,2,2,tata letak museum sangat menarik tidak_membosankan,tata letak museum sangat tarik tidak bosan
262,Lokasinya sendiri di dataran tinggi gunung merapi yang berudara cukup sejuk.,positif,lokasi,lokasi,2,1,lokasinya sendiri dataran tinggi gunung merapi yang berudara cukup sejuk,lokasi sendiri datar tinggi gunung rapi yang udara cukup sejuk
263,Hanya saja tidak diperkenankan untuk mengambil gambar.,negatif,fasilitas,fasilitas,1,2,hanya saja tidak_diperkenankan untuk mengambil gambar,hanya saja tidak kenan untuk ambil gambar
264,"Sejarah dan budaya jawa yang sangat menarik bisa didapatkan disini, ",positif,serbaneka,serbaneka,4,1,sejarah budaya jawa yang sangat menarik bisa didapatkan disini,sejarah budaya jawa yang sangat tarik bisa dapat sini
265,sayangnya tidak bisa membawa kamera sampai ke dalam museum.,negatif,fasilitas,fasilitas,1,2,sayangnya tidak_bisa membawa kamera sampai dalam museum,sayang tidak bisa bawa kamera sampai dalam museum
266,Tapi semua yang di museum masih melekat diingatan.,positif,serbaneka,serbaneka,4,1,tapi semua yang museum masih melekat diingatan,tapi semua yang museum masih lekat ingat
267,"Kalau kalian sering mengunjungi museum di Indonesia, kalian pasti tahu bahwa kecenderungan museum disini ditata kurang menarik dan kurang terorganisir padahal nilai sejarahnya tinggi.",negatif,lokasi,lokasi,2,2,kalau kalian sering mengunjungi museum indonesia kalian pasti tahu bahwa kecenderungan museum disini ditata kurang_menarik kurang_terorganisir padahal nilai sejarahnya tinggi,kalau kalian sering unjung museum indonesia kalian pasti tahu bahwa cenderung museum sini tata kurang tarik kurang organisir padahal nilai sejarah tinggi
268,Sementara di Ulen Sentalu ini semua koleksi desain ditata dengan cantik dan elegan.,positif,lokasi,lokasi,2,1,sementara ulen sentalu semua koleksi desain ditata dengan cantik elegan,sementara ulen sentalu semua koleksi desain tata dengan cantik elegan
269,Setiap grup yang masuk didampingi seorang untuk menjelaskan karya karya di dalamnya.,positif,fasilitas,fasilitas,1,1,setiap grup yang masuk didampingi seorang untuk menjelaskan karya karya dalamnya,tiap grup yang masuk damping orang untuk jelas karya karya dalam
270,Kita juga dikasih minuman di akhir tour sama dikasih sesi-sesi foto setelahnya.,positif,fasilitas,fasilitas,1,1,kita juga dikasih minuman akhir wisata sama dikasih sesi sesi foto setelahnya,kita juga kasih minum akhir wisata sama kasih sesi sesi foto telah
271,Museum Ullen Sentalu berada di daratan tinggi.,netral,lokasi,lokasi,2,0,museum ullen sentalu berada daratan tinggi,museum ullen sentalu ada darat tinggi
272,"Letaknya tidak jauh dari Gunung Merapi, hal ini membuat udara di sekitar museum ini cukup membuat kita sering mengusap-usap telapak tangan.",netral,lokasi,lokasi,2,0,letaknya tidak_jauh dari gunung merapi membuat udara sekitar museum cukup membuat kita sering mengusap usap telapak tangan,letak tidak jauh dari gunung rapi buat udara sekitar museum cukup buat kita sering usap usap telapak tangan
273,Museum Ullen Sentalu bisa dibilang sebagai museum yang unik.,positif,serbaneka,serbaneka,4,1,museum ullen sentalu bisa dibilang sebagai museum yang unik,museum ullen sentalu bisa bilang bagai museum yang unik
274,"Karena kita akan dibawa berkeliling, menjelajahi museum dengan jalan naik-turun, berkelok-kelok seperti labirin.",netral,lokasi,lokasi,2,0,karena kita akan dibawa berkeliling menjelajahi museum dengan jalan naik turun berkelok kelok seperti labirin,karena kita akan bawa keliling jajah museum dengan jalan naik turun kelok kelok seperti labirin
275,"Saat berada di dalam museum ini, suasana tradisional khas Jawa masih cukup terasa.",netral,suasana,suasana,3,0,saat berada dalam museum suasana tradisional khas jawa masih cukup terasa,saat ada dalam museum suasana tradisional khas jawa masih cukup asa
276,Mungkin karena terdapat banyak atribut Jawa dan beberapa lukisan tokoh ternama dari tanah Jawa saat itu.,netral,fasilitas,fasilitas,1,0,mungkin karena terdapat banyak atribut jawa beberapa lukisan tokoh ternama dari tanah jawa saat,mungkin karena dapat banyak atribut jawa beberapa lukis tokoh nama dari tanah jawa saat
277,"Saat berada di Museum Ullen Sentalu, kita dilarang berfoto ria ya.",netral,fasilitas,fasilitas,1,0,saat berada museum ullen sentalu kita dilarang berfoto,saat ada museum ullen sentalu kita larang foto
278,Kita boleh berfoto ketika sudah keluar dari Museum.,netral,fasilitas,fasilitas,1,0,kita boleh berfoto ketika sudah keluar dari museum,kita boleh foto ketika sudah keluar dari museum
279,"Dan kita akan disuguhkan dengan jamu awet muda loh, genks!",positif,fasilitas,fasilitas,1,1,kita akan disuguhkan dengan jamu awet muda genks,kita akan suguh dengan jamu awet muda genks
280,Dijamin deh pulang dari sini kamu terasa lebih muda 10 tahun dari umur aslimu,netral,serbaneka,serbaneka,4,0,dijamin pulang dari sini kamu terasa lebih muda tahun dari umur aslimu,jamin pulang dari sini kamu asa lebih muda tahun dari umur asli
281,Membaca sejarah yang ditampilkan di museum Ullen Sentalu adalah pengalaman menyenangkan.,positif,serbaneka,serbaneka,4,1,membaca sejarah yang ditampilkan museum ullen sentalu adalah pengalaman menyenangkan,baca sejarah yang tampil museum ullen sentalu adalah alam senang
282,"Segelas jamu yang disuguhkan saat hujan turun, merupakan satu dari beberapa keistimewaan yang dimiliki oleh museum ini.",positif,fasilitas,fasilitas,1,1,segelas jamu yang disuguhkan saat hujan turun merupakan satu dari beberapa keistimewaan yang dimiliki oleh museum,gelas jamu yang suguh saat hujan turun rupa satu dari beberapa istimewa yang milik oleh museum
283,Wisata sejarah yang sangat fantastis!,positif,serbaneka,serbaneka,4,1,wisata sejarah yang sangat fantastis,wisata sejarah yang sangat fantastis
284,"Salah satu tempat untuk mempelajari batik, sejarah kerajaan di jogja (jawa), kisah-kisah raja dan putri kerajaan terdahulu, di sinilah tempat yg menarik.",positif,serbaneka,serbaneka,4,1,salah satu tempat untuk mempelajari batik sejarah kerajaan jogja jawa kisah kisah raja putri kerajaan terdahulu sinilah tempat yang menarik,salah satu tempat untuk ajar batik sejarah raja jogja jawa kisah kisah raja putri raja dahulu sini tempat yang tarik
